G_NUMBER	DATE_ISOLATION	COUNTRY_ISOLATION	Region	ClonalComplex
G36605	2010-01-01 00:00:00.000	Uruguay	South America	eu1
G36606	2008-01-01 00:00:00.000	Uruguay	South America	eu1
G36607	2010-01-01 00:00:00.000	Uruguay	South America	eu1
G36609	2005-01-01 00:00:00.000	Uruguay	South America	eu1
G36624		Ireland	Northern Europe	eu1
G36645	2004-01-01 00:00:00.000	Germany	Western Europe	caprae
G36660	2009-01-01 00:00:00.000	Germany	Western Europe	caprae
G36703		Netherlands	Western Europe	eu2
G36704		Germany	Western Europe	eu2
G36705	2016-01-01 00:00:00.000	UK	Northern Europe	eu1
G36706		UK	Northern Europe	eu1
G36707		UK	Northern Europe	eu1
G36708		UK	Northern Europe	unk7
G36710		UK	Northern Europe	eu1
G36711		UK	Northern Europe	eu1
G36712		UK	Northern Europe	eu1
G36713		UK	Northern Europe	unk5
G36715	2016-01-01 00:00:00.000	UK	Northern Europe	unk7
G36717		UK	Northern Europe	eu1
G36718		UK	Northern Europe	eu1
G36719		UK	Northern Europe	eu1
G36720		UK	Northern Europe	eu1
G36721		UK	Northern Europe	eu1
G36724		UK	Northern Europe	eu1
G36725		UK	Northern Europe	eu1
G36727		UK	Northern Europe	eu1
G36729		UK	Northern Europe	eu1
G36730		UK	Northern Europe	eu1
G36731	2016-01-01 00:00:00.000	UK	Northern Europe	eu1
G36732		UK	Northern Europe	eu1
G36733		UK	Northern Europe	eu1
G36734	2016-01-01 00:00:00.000	UK	Northern Europe	eu1
G36735		UK	Northern Europe	eu1
G36736		UK	Northern Europe	eu1
G36737		UK	Northern Europe	eu1
G36738		UK	Northern Europe	eu1
G36740		UK	Northern Europe	af1
G36741		Belgium	Western Europe	eu2
G36742		Belgium	Western Europe	unk7
G36743		Belgium	Western Europe	eu2
G36744		Germany	Western Europe	unk3
G36745		Germany	Western Europe	unk3
G36750		Netherlands	Western Europe	eu2
G36751		Netherlands	Western Europe	unk3
G36752		Netherlands	Western Europe	eu2
G36753		Netherlands	Western Europe	eu2
G36754		Netherlands	Western Europe	eu2
G36755		Netherlands	Western Europe	eu2
G36756		Netherlands	Western Europe	eu2
G36757		Netherlands	Western Europe	eu2
G36758		SA	Southern Africa	eu2
G36760		Netherlands	Western Europe	caprae
G36761		Peru	South America	caprae
G36762		Peru	South America	caprae
G36763		UK	Northern Europe	orygis
G36764		UK	Northern Europe	orygis
G36765		UK	Northern Europe	orygis
G36766		UK	Northern Europe	orygis
G36767		UK	Northern Europe	orygis
G36768		UK	Northern Europe	orygis
G36769		UK	Northern Europe	orygis
G36770		UK	Northern Europe	orygis
G36771		UK	Northern Europe	orygis
G36772		UK	Northern Europe	orygis
G36773		UK	Northern Europe	orygis
G36774		UK	Northern Europe	orygis
G36775		UK	Northern Europe	orygis
G36776		UK	Northern Europe	orygis
G36778		UK	Northern Europe	orygis
G36779		UK	Northern Europe	orygis
G36781		UK	Northern Europe	orygis
G36782		UK	Northern Europe	orygis
G36783		UK	Northern Europe	orygis
G36784		UK	Northern Europe	orygis
G36785		UK	Northern Europe	orygis
G36786		UK	Northern Europe	orygis
G36787		UK	Northern Europe	orygis
G36788		UK	Northern Europe	orygis
G36789		Germany	Western Europe	orygis
G36790		Germany	Western Europe	orygis
G36791		Germany	Western Europe	orygis
G36792		UK	Northern Europe	orygis
G36793		Netherlands	Western Europe	orygis
G36797	2015-01-01 00:00:00.000	Germany	Western Europe	eu2
G36798	2002-01-01 00:00:00.000	Germany	Western Europe	unk4
G36799	2002-01-01 00:00:00.000	Germany	Western Europe	unk4
G36800	2000-01-01 00:00:00.000	Germany	Western Europe	PZA_sus
G36801			unknown	unk2
G36802	2012-01-01 00:00:00.000	Germany	Western Europe	eu1
G36803	2015-01-01 00:00:00.000	Germany	Western Europe	eu2
G36804	2014-01-01 00:00:00.000	Germany	Western Europe	unk2
G36805	2000-01-01 00:00:00.000	Germany	Western Europe	eu2
G36806	2012-01-01 00:00:00.000	Germany	Western Europe	eu2
G36807	2012-01-01 00:00:00.000	Germany	Western Europe	eu2
G36808	2011-01-01 00:00:00.000	Germany	Western Europe	unk3
G36809			unknown	unk2
G36810	1999-01-01 00:00:00.000	Germany	Western Europe	eu2
G36811	1999-01-01 00:00:00.000	Germany	Western Europe	eu2
G36871	2013-01-01 00:00:00.000	Germany	Western Europe	eu2
G36872	2013-01-01 00:00:00.000	Germany	Western Europe	unk4
G36873	2013-01-01 00:00:00.000	Germany	Western Europe	unk4
G36886	2010-01-01 00:00:00.000	Germany	Western Europe	unk4
G36887	2010-01-01 00:00:00.000	Germany	Western Europe	unk4
G36892	2009-01-01 00:00:00.000	Germany	Western Europe	unk4
G36893	2009-01-01 00:00:00.000	Germany	Western Europe	eu2
G36894	2008-01-01 00:00:00.000	Germany	Western Europe	unk4
G36895	2008-01-01 00:00:00.000	Germany	Western Europe	eu2
G36896	2008-01-01 00:00:00.000	Germany	Western Europe	eu2
G36897	2000-01-01 00:00:00.000	Germany	Western Europe	eu2
G36898	2000-01-01 00:00:00.000	Germany	Western Europe	unk2
G36907	2001-01-01 00:00:00.000	USA	Northern America	eu1
G36910	2001-01-01 00:00:00.000	USA	Northern America	eu1
G36914	2001-01-01 00:00:00.000	USA	Northern America	eu1
G36915	2001-01-01 00:00:00.000	USA	Northern America	eu2
G36917	2001-01-01 00:00:00.000	USA	Northern America	af2
G36919	2001-01-01 00:00:00.000	USA	Northern America	af2
G36929	2001-01-01 00:00:00.000	USA	Northern America	eu2
G36935	2001-01-01 00:00:00.000	USA	Northern America	eu1
G36943	2001-01-01 00:00:00.000	USA	Northern America	eu2
G36944	2001-01-01 00:00:00.000	USA	Northern America	eu1
G36958	2001-01-01 00:00:00.000	USA	Northern America	eu1
G36959	2001-01-01 00:00:00.000	USA	Northern America	eu1
G36969	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36970	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36973	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36977	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36980	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36984	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36991	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36992	2002-01-01 00:00:00.000	USA	Northern America	eu1
G36999	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37000	2002-01-01 00:00:00.000	USA	Northern America	eu2
G37004	2002-01-01 00:00:00.000	USA	Northern America	eu2
G37008	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37009	2002-01-01 00:00:00.000	USA	Northern America	eu2
G37011	2002-01-01 00:00:00.000	USA	Northern America	eu2
G37016	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37023	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37029	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37031	2002-01-01 00:00:00.000	USA	Northern America	eu2
G37033	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37036	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37039	2002-01-01 00:00:00.000	USA	Northern America	eu2
G37041	2002-01-01 00:00:00.000	USA	Northern America	eu1
G37048	2003-01-01 00:00:00.000	USA	Northern America	eu2
G37068	2003-01-01 00:00:00.000	USA	Northern America	eu1
G37071	2003-01-01 00:00:00.000	USA	Northern America	eu1
G37073	2003-01-01 00:00:00.000	USA	Northern America	eu2
G37078	2003-01-01 00:00:00.000	USA	Northern America	eu1
G37083	2003-01-01 00:00:00.000	USA	Northern America	eu2
G37087	2003-01-01 00:00:00.000	USA	Northern America	eu2
G37088	2003-01-01 00:00:00.000	USA	Northern America	eu1
G37090	2003-01-01 00:00:00.000	USA	Northern America	eu1
G37096	2003-01-01 00:00:00.000	USA	Northern America	eu1
G37098	2003-01-01 00:00:00.000	USA	Northern America	eu2
G37101	2004-01-01 00:00:00.000	USA	Northern America	eu1
G37116	2004-01-01 00:00:00.000	USA	Northern America	eu2
G37118	2004-01-01 00:00:00.000	USA	Northern America	eu1
G37144	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37149	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37154	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37157	2005-01-01 00:00:00.000	USA	Northern America	eu2
G37159	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37160	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37165	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37166	2005-01-01 00:00:00.000	USA	Northern America	eu2
G37167	2005-01-01 00:00:00.000	USA	Northern America	eu2
G37176	2005-01-01 00:00:00.000	USA	Northern America	eu2
G37177	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37182	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37184	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37192	2005-01-01 00:00:00.000	USA	Northern America	eu1
G37194	2006-01-01 00:00:00.000	USA	Northern America	eu1
G37195	2006-01-01 00:00:00.000	USA	Northern America	eu1
G37205	2006-01-01 00:00:00.000	USA	Northern America	eu1
G37209	2006-01-01 00:00:00.000	USA	Northern America	eu2
G37212	2006-01-01 00:00:00.000	USA	Northern America	eu2
G37216	2006-01-01 00:00:00.000	USA	Northern America	eu1
G37221	2006-01-01 00:00:00.000	USA	Northern America	eu1
G37234	2006-01-01 00:00:00.000	USA	Northern America	eu2
G37248	2007-01-01 00:00:00.000	USA	Northern America	eu2
G37250	2007-01-01 00:00:00.000	USA	Northern America	eu1
G37251	2007-01-01 00:00:00.000	USA	Northern America	eu1
G37258	2007-01-01 00:00:00.000	USA	Northern America	eu1
G37267	2007-01-01 00:00:00.000	USA	Northern America	eu1
G37273	2007-01-01 00:00:00.000	USA	Northern America	eu1
G37274	2007-01-01 00:00:00.000	USA	Northern America	eu1
G37275	2007-01-01 00:00:00.000	USA	Northern America	eu2
G37280	2007-01-01 00:00:00.000	USA	Northern America	eu2
G37283	2007-01-01 00:00:00.000	USA	Northern America	eu1
G37297	2008-01-01 00:00:00.000	USA	Northern America	eu1
G37310	2008-01-01 00:00:00.000	USA	Northern America	eu1
G37314	2008-01-01 00:00:00.000	USA	Northern America	eu1
G37317	2008-01-01 00:00:00.000	USA	Northern America	eu2
G37321	2008-01-01 00:00:00.000	USA	Northern America	eu1
G37325	2008-01-01 00:00:00.000	USA	Northern America	eu2
G37329	2008-01-01 00:00:00.000	USA	Northern America	eu2
G37331	2008-01-01 00:00:00.000	USA	Northern America	eu1
G37353	2008-01-01 00:00:00.000	USA	Northern America	eu1
G37359	2008-01-01 00:00:00.000	USA	Northern America	eu1
G37362	2008-01-01 00:00:00.000	USA	Northern America	eu2
G37368	2008-01-01 00:00:00.000	USA	Northern America	unk6
G37371	2009-01-01 00:00:00.000	China	Eastern Asia	caprae
G37372	2009-01-01 00:00:00.000	USA	Northern America	caprae
G37378	2009-01-01 00:00:00.000	USA	Northern America	eu2
G37379	2009-01-01 00:00:00.000	USA	Northern America	eu1
G37383	2009-01-01 00:00:00.000	USA	Northern America	eu1
G37385	2009-01-01 00:00:00.000	USA	Northern America	eu1
G37386	2009-01-01 00:00:00.000	USA	Northern America	eu1
G37400	2009-01-01 00:00:00.000	USA	Northern America	eu2
G37411	2009-01-01 00:00:00.000	USA	Northern America	eu2
G37452	2010-01-01 00:00:00.000	USA	Northern America	eu2
G37486	2011-01-01 00:00:00.000	USA	Northern America	eu1
G37488	2011-01-01 00:00:00.000	USA	Northern America	eu1
G37546	2012-01-01 00:00:00.000	USA	Northern America	eu1
G37556	2012-01-01 00:00:00.000	USA	Northern America	eu1
G37557	2012-01-01 00:00:00.000	USA	Northern America	eu1
G37565	2013-01-01 00:00:00.000	USA	Northern America	eu1
G37579	2013-01-01 00:00:00.000	USA	Northern America	eu1
G37617	2013-01-01 00:00:00.000	USA	Northern America	eu2
G37636	2013-01-01 00:00:00.000	USA	Northern America	eu1
G37645	2013-01-01 00:00:00.000	USA	Northern America	eu1
G37648	2013-01-01 00:00:00.000	USA	Northern America	eu1
G37652	2013-01-01 00:00:00.000	USA	Northern America	eu2
G37656	2013-01-01 00:00:00.000	USA	Northern America	eu2
G37681	1991-01-01 00:00:00.000	USA	Northern America	unk6
G37684	1991-01-01 00:00:00.000	USA	Northern America	eu2
G37686	1992-01-01 00:00:00.000	USA	Northern America	unk6
G37688	1992-01-01 00:00:00.000	USA	Northern America	unk6
G37689	1993-01-01 00:00:00.000	USA	Northern America	unk6
G37692	1994-01-01 00:00:00.000	USA	Northern America	unk2
G37694	1994-01-01 00:00:00.000	USA	Northern America	eu1
